iter	Passed	Remaining
0	176	322388
1	352	321649
2	520	316481
3	686	312929
4	998	363835
5	1167	354283
6	1341	348697
7	1476	335724
8	1644	332095
9	1807	328441
10	1965	324417
11	2127	321840
12	2314	322922
13	2485	321833
14	2647	319798
15	2777	314369
16	2945	313644
17	3116	313210
18	3280	312194
19	3434	310336
20	3576	307539
21	3738	306726
22	3906	306398
23	4083	306771
24	4252	306497
25	4441	307634
26	4634	308984
27	4768	306378
28	4964	307799
29	5133	307482
30	5310	307649
31	5481	307498
32	5576	303179
33	5773	304481
34	5976	305983
35	6163	306647
36	6304	304980
37	6477	304946
38	6655	305136
39	6837	305448
40	7042	306779
41	7221	306902
42	7410	307459
43	7604	308143
44	7703	305076
45	7854	304117
46	8015	303570
47	8200	303944
48	8369	303702
49	8538	303463
50	8720	303681
51	8879	303089
52	9058	303201
53	9245	303551
54	9431	303866
55	9601	303638
56	9777	303607
57	9924	302703
58	10131	303589
59	10299	303308
60	10480	303423
61	10651	303238
62	10813	302764
63	11004	303139
64	11245	304850
65	11425	304865
66	11628	305453
67	11810	305510
68	11968	304928
69	12065	302845
70	12215	302127
71	12393	302088
72	12560	301796
73	12715	301226
74	12870	300652
75	13052	300724
76	13222	300513
77	13443	301442
78	13633	301656
79	13780	300938
80	13943	300557
81	14120	300492
82	14293	300338
83	14471	300280
84	14639	300015
85	14798	299574
86	14962	299249
87	15166	299719
88	15344	299650
89	15443	298067
90	15630	298174
91	15806	298094
92	15980	297966
93	16173	298174
94	16340	297908
95	16497	297465
96	16688	297637
97	16875	297737
98	17065	297866
99	17264	298157
100	17438	298015
101	17604	297719
102	17771	297462
103	17960	297552
104	18145	297593
105	18305	297211
106	18483	297120
107	18659	296998
108	18825	296721
109	19028	297024
110	19229	297280
111	19294	295442
112	19484	295543
113	19687	295835
114	19901	296276
115	20072	296075
116	20254	296029
117	20426	295836
118	20591	295548
119	20767	295416
120	20940	295240
121	21113	295074
122	21225	294055
123	21382	293662
124	21564	293627
125	21741	293505
126	21911	293299
127	22087	293178
128	22251	292893
129	22437	292898
130	22618	292833
131	22781	292537
132	22960	292448
133	23132	292266
134	23311	292166
135	23488	292053
136	23663	291902
137	23823	291574
138	24030	291821
139	24251	292229
140	24430	292130
141	24620	292151
142	24799	292048
143	24981	291975
144	25160	291862
145	25337	291731
146	25527	291745
147	25690	291446
148	25856	291184
149	26013	290827
150	26196	290760
151	26380	290710
152	26545	290442
153	26705	290115
154	26877	289928
155	27052	289769
156	27247	289835
157	27440	289862
158	27644	290008
159	27840	290058
160	28029	290042
161	28144	289260
162	28333	289243
163	28514	289146
164	28690	288994
165	28834	288522
166	28997	288241
167	29177	288126
168	29383	288272
