Feature,Importance
TotalSF,17.60025173780235
OverallQual,9.046147410895689
QualityIndex,6.120465454784419
GrLivArea,5.1084423087695185
Neighborhood,5.023876796684568
1stFlrSF,2.940898632040041
TotalBath,2.927868196929988
LotArea,2.8312900177494487
FireplaceQu,2.2037709788764883
YearBuilt,1.980805227986616
TotalBsmtSF,1.9101843424369285
GarageArea,1.7429751603757155
BsmtFinSF1,1.6888760668668563
YearRemodAdd,1.566634825457293
HouseAge,1.5622373380686743
KitchenQual,1.552104162409816
SaleCondition,1.506676571792226
BsmtQual,1.420761227139069
MSZoning,1.382816176653012
ExterQual,1.2827267266148077
BsmtFinType1,1.1594360504481656
CentralAir,1.1591329931006902
GarageCars,1.0551638687021618
OverallCond,1.0530367338958744
HasFireplace,1.006199594992142
GarageFinish,0.9510989928565703
GarageType,0.9352019537793552
Fireplaces,0.9274974542129435
2ndFlrSF,0.9259518277846507
GarageYrBlt,0.9165553222603607
BsmtExposure,0.8302782783283278
MSSubClass,0.8235614670058404
TotRmsAbvGrd,0.8087565018120367
BsmtUnfSF,0.8021840528620833
TotalPorchSF,0.7093629523855753
MoSold,0.6840030089367127
GarageQual,0.6818789654391034
GarageCond,0.6775010229307658
FullBath,0.671522409856443
RemodAge,0.6683560269225479
LotFrontage,0.6357134154170672
WoodDeckSF,0.634009233955674
PavedDrive,0.5490984590735151
Condition1,0.5368066048614594
HouseStyle,0.5136236489899028
LotShape,0.5135293236122631
Exterior1st,0.5069853373095861
BedroomAbvGr,0.456557891397534
BldgType,0.4074279437492787
BsmtFullBath,0.40189411508805345
Foundation,0.39656518900284915
YrSold,0.38860387149654196
Exterior2nd,0.3704802486870049
HalfBath,0.3593749863366926
MasVnrArea,0.3511810498093174
OpenPorchSF,0.31626547965601703
Fence,0.3093396324062287
HeatingQC,0.2919501450349189
LandContour,0.28654403072422924
Functional,0.2861228470785583
Electrical,0.2753665140580102
LotConfig,0.2661538956544493
RoofStyle,0.21365253740240417
ScreenPorch,0.2061717269341776
MasVnrType,0.19075025426117206
BsmtFinSF2,0.18504163141736915
EnclosedPorch,0.16812362839410172
BsmtCond,0.15016592277842875
SaleType,0.14884445380451725
BsmtFinType2,0.1286070077560908
LandSlope,0.11782505557500149
Alley,0.09998903045932518
ExterCond,0.08625613943992898
Heating,0.08238681604417496
RoofMatl,0.0684164643215225
HasGarage,0.05387232228062627
KitchenAbvGr,0.043336742272647284
PoolArea,0.04060464954738633
Condition2,0.02930457873744157
MiscFeature,0.024680192992722366
PoolQC,0.02364071078639858
HasPool,0.013586653674535962
Street,0.0074214834557327185
LowQualFinSF,0.006035435194574361
3SsnPorch,0.004780492246642687
BsmtHalfBath,0.0030403968985886487
MiscVal,0.0021293604486052166
Utilities,0.001253610630938177
HasBasement,0.0
