iter	Passed	Remaining
0	6	18496
1	10	15697
2	14	14021
3	18	13705
4	22	13526
5	26	13188
6	31	13298
7	34	12983
8	38	12679
9	41	12328
10	43	11892
11	46	11591
12	49	11264
13	51	10975
14	54	10757
15	56	10487
16	58	10265
17	60	10043
18	62	9829
19	64	9646
20	66	9487
21	69	9420
22	72	9323
23	74	9202
24	76	9117
25	78	9002
26	80	8875
27	82	8770
28	85	8791
29	88	8789
30	91	8729
31	93	8655
32	95	8589
33	97	8511
34	102	8688
35	105	8667
36	107	8603
37	109	8532
38	111	8470
39	113	8419
40	116	8382
41	118	8338
42	120	8290
43	122	8244
44	124	8178
45	126	8123
46	128	8068
47	130	8015
48	132	7997
49	135	7976
50	137	7929
51	139	7883
52	140	7821
53	142	7774
54	144	7725
55	146	7684
56	148	7679
57	151	7661
58	153	7636
59	155	7616
60	157	7595
61	159	7578
62	162	7558
63	165	7573
64	167	7562
65	169	7556
66	172	7543
67	174	7535
68	177	7520
69	179	7531
70	182	7525
71	184	7510
72	186	7489
73	188	7471
74	191	7455
75	193	7443
76	195	7438
77	198	7429
78	200	7427
79	203	7421
80	205	7408
81	207	7391
82	209	7372
83	212	7372
84	214	7360
85	217	7354
86	219	7343
87	221	7324
88	224	7335
89	227	7365
90	230	7359
91	232	7346
92	234	7328
93	236	7315
94	240	7340
95	242	7329
96	244	7326
97	247	7315
98	249	7298
99	251	7281
100	253	7264
101	255	7251
102	257	7235
103	259	7237
104	262	7229
105	264	7217
106	266	7206
107	268	7196
108	270	7181
109	273	7173
110	275	7168
111	277	7159
112	279	7145
113	281	7134
114	283	7123
115	286	7112
116	288	7100
117	290	7095
118	292	7088
119	295	7097
120	297	7089
121	300	7081
122	302	7070
123	304	7059
124	306	7056
125	309	7048
126	311	7038
127	313	7031
128	315	7021
129	317	7007
130	319	6997
131	322	6998
132	324	6993
133	326	6986
134	328	6975
135	330	6967
136	332	6958
137	335	6949
138	338	6957
139	340	6951
140	342	6943
141	344	6931
142	346	6917
143	348	6905
144	350	6895
145	352	6889
146	355	6891
147	357	6883
148	359	6872
149	361	6859
150	362	6847
151	364	6834
152	366	6825
153	370	6840
154	373	6848
155	375	6837
156	376	6824
157	379	6830
158	382	6828
159	386	6855
160	389	6863
161	391	6852
162	393	6840
163	394	6829
164	397	6821
165	398	6811
166	401	6808
167	403	6802
168	405	6800
169	407	6790
170	409	6778
171	411	6768
172	413	6758
173	415	6747
174	417	6744
175	420	6739
176	422	6733
177	424	6725
178	426	6715
179	428	6705
180	429	6696
181	432	6691
182	434	6687
183	436	6679
184	438	6668
185	440	6657
186	441	6648
187	443	6638
188	445	6629
189	448	6628
190	450	6625
191	453	6635
192	455	6628
193	457	6622
194	459	6615
195	461	6606
196	464	6608
197	466	6605
198	469	6606
199	471	6598
200	473	6590
201	475	6582
202	477	6574
203	479	6573
204	482	6574
205	484	6566
206	486	6558
207	487	6550
