Group,Feature,InTrainColumns
size_area,LotArea,True
size_area,GrLivArea,True
size_area,TotalBsmtSF,True
size_area,1stFlrSF,True
size_area,2ndFlrSF,True
quality_condition,OverallQual,True
quality_condition,OverallCond,True
quality_condition,KitchenQual,True
quality_condition,ExterQual,True
quality_condition,HeatingQC,True
house_age,YearBuilt,True
house_age,YearRemodAdd,True
house_age,GarageYrBlt,True
location,Neighborhood,True
location,Condition1,True
location,Street,True
utilities,GarageCars,True
utilities,GarageArea,True
utilities,FullBath,True
utilities,HalfBath,True
utilities,BedroomAbvGr,True
utilities,TotRmsAbvGrd,True
utilities,Fireplaces,True
utilities,PoolArea,True
transaction,SaleType,True
transaction,SaleCondition,True
transaction,YrSold,True
transaction,MoSold,True
