Feature,Coefficient,AbsCoefficient
PoolQC,-107732.1255213711,107732.1255213711
Utilities,-54242.011862039915,54242.011862039915
Street,21594.23944938055,21594.23944938055
KitchenAbvGr,-12404.221182429801,12404.221182429801
LandSlope,11366.899437899572,11366.899437899572
GarageCars,11170.136353469736,11170.136353469736
Condition2,-10784.067420745012,10784.067420745012
OverallQual,10640.733021628088,10640.733021628088
KitchenQual,-9428.94296272162,9428.94296272162
ExterQual,-9086.77027217017,9086.77027217017
Fireplaces,5771.552915161659,5771.552915161659
BsmtFullBath,5454.407757430628,5454.407757430628
RoofMatl,5338.269108935551,5338.269108935551
BsmtQual,-5191.364612380865,5191.364612380865
OverallCond,5188.20002979929,5188.20002979929
Functional,4357.545151712563,4357.545151712563
TotRmsAbvGrd,4091.60747177454,4091.60747177454
BsmtHalfBath,-3956.7465094831737,3956.7465094831737
BsmtExposure,-3631.7736194743334,3631.7736194743334
MasVnrType,3607.3149122199166,3607.3149122199166
MiscFeature,-3479.459896577918,3479.459896577918
Alley,2954.131813007674,2954.131813007674
LandContour,2937.6644269707836,2937.6644269707836
BldgType,-2806.5918639225056,2806.5918639225056
RoofStyle,2518.1916950350906,2518.1916950350906
BsmtCond,2427.112407971855,2427.112407971855
SaleCondition,2212.3717622208655,2212.3717622208655
TotalBath,2202.95830208178,2202.95830208178
MSZoning,-2138.028650162609,2138.028650162609
BedroomAbvGr,-2035.0311011282872,2035.0311011282872
HalfBath,-2011.4208463953682,2011.4208463953682
GarageQual,-1872.4715771046574,1872.4715771046574
CentralAir,1434.4976984881973,1434.4976984881973
FireplaceQu,-1433.72665888163,1433.72665888163
Exterior1st,-1376.5232925775902,1376.5232925775902
HouseStyle,-1266.1305753795118,1266.1305753795118
BsmtFinType2,1249.2374851866648,1249.2374851866648
PavedDrive,1148.113892768589,1148.113892768589
LotShape,-1120.4449748989352,1120.4449748989352
Foundation,1089.6712369643828,1089.6712369643828
GarageFinish,-1043.101345345792,1043.101345345792
Heating,-789.793106638085,789.793106638085
Exterior2nd,728.1202300061732,728.1202300061732
SaleType,-570.5576776294517,570.5576776294517
Condition1,-566.9589644758131,566.9589644758131
Fence,498.6810300046759,498.6810300046759
Neighborhood,434.6942107675046,434.6942107675046
Electrical,-364.3715053275471,364.3715053275471
PoolArea,-358.65966938066595,358.65966938066595
BsmtFinType1,-358.2687299938222,358.2687299938222
FullBath,-267.36577740949537,267.36577740949537
YrSold,-236.69010061681612,236.69010061681612
LotFrontage,-235.03280525748764,235.03280525748764
HouseAge,-224.47542480801462,224.47542480801462
MoSold,-187.62782216010226,187.62782216010226
GarageType,177.8090600951927,177.8090600951927
ExterCond,149.41632874060474,149.41632874060474
HeatingQC,-140.19708523665116,140.19708523665116
RemodAge,-132.6641031132947,132.6641031132947
MSSubClass,-124.95675075563535,124.95675075563535
YearRemodAdd,-104.0259975108695,104.0259975108695
GarageCond,69.38831034648504,69.38831034648504
LotConfig,60.87246567070815,60.87246567070815
ScreenPorch,47.095052155394285,47.095052155394285
3SsnPorch,41.426695328311325,41.426695328311325
MasVnrArea,22.613415240196446,22.613415240196446
WoodDeckSF,19.918451841975866,19.918451841975866
1stFlrSF,17.433757957794114,17.433757957794114
TotalSF,17.12404878342113,17.12404878342113
LowQualFinSF,-14.546520325741767,14.546520325741767
GrLivArea,13.633098675198198,13.633098675198198
GarageYrBlt,13.356839898317503,13.356839898317503
YearBuilt,-12.214675816487443,12.214675816487443
EnclosedPorch,-11.460617385037438,11.460617385037438
TotalBsmtSF,-11.055570198117948,11.055570198117948
2ndFlrSF,10.745861105403492,10.745861105403492
BsmtUnfSF,-10.006178509056554,10.006178509056554
Id,-2.8000876181594587,2.8000876181594587
BsmtFinSF1,-2.269837365353851,2.269837365353851
GarageArea,1.8217311020725901,1.8217311020725901
OpenPorchSF,-1.3758508565790635,1.3758508565790635
BsmtFinSF2,1.2204456651306828,1.2204456651306828
LotArea,0.34703255056427906,0.34703255056427906
MiscVal,0.08846911882119457,0.08846911882119457
