Feature,MI_Score
TotalSF,0.6791392951653714
OverallQual,0.5646802277479077
Neighborhood,0.5111821044550489
GrLivArea,0.4828763874042137
GarageCars,0.36778170990324965
TotalBsmtSF,0.36754823556964933
YearBuilt,0.3634374625197352
GarageArea,0.3607494264794986
HouseAge,0.33954082856564094
TotalBath,0.33689775060686555
BsmtQual,0.3307004408114631
KitchenQual,0.32996796383612725
ExterQual,0.32839551293617864
1stFlrSF,0.3099356929412296
GarageYrBlt,0.2920930820311445
MSSubClass,0.2691911795144515
GarageFinish,0.26576240303611565
RemodAge,0.26218991511960743
FullBath,0.259112753091741
YearRemodAdd,0.24718325206815583
TotRmsAbvGrd,0.21989708446271683
LotFrontage,0.2157929495926285
FireplaceQu,0.20631441488049118
GarageType,0.2029374738408234
2ndFlrSF,0.194081148688666
Foundation,0.18861274599395395
HeatingQC,0.17272236537853192
Exterior2nd,0.1639003937780119
Fireplaces,0.1620566801536678
LotArea,0.15767307963404553
BsmtFinType1,0.14820565651986328
BsmtFinSF1,0.14244790162440424
OpenPorchSF,0.14056288699592034
Exterior1st,0.13515288229121536
MSZoning,0.1264315372998348
BsmtUnfSF,0.12135927922799539
OverallCond,0.11603034640838938
WoodDeckSF,0.11382771936417146
MasVnrArea,0.09825061090232223
SaleType,0.0980470538479925
LotShape,0.09055934397265997
BsmtExposure,0.0881276059808398
HouseStyle,0.07701479929611299
HalfBath,0.07492096235768586
SaleCondition,0.07075268606013219
GarageQual,0.07067677032014719
BedroomAbvGr,0.07030137041662465
CentralAir,0.06940468955128498
MasVnrType,0.06486071036559315
GarageCond,0.06426129330146413
Fence,0.050664005353054486
BldgType,0.04792677230756093
PavedDrive,0.04727982496629002
Electrical,0.04355971529888336
BsmtCond,0.0389364705532913
ExterCond,0.032685085125854885
BsmtFinType2,0.03242295795812655
BsmtHalfBath,0.03216573508562859
EnclosedPorch,0.027089990716373524
LandContour,0.026195980103934646
Alley,0.025500557595541817
Functional,0.022211101975826875
BsmtFullBath,0.021686379484163076
BsmtFinSF2,0.021650885573257117
MiscFeature,0.020823865833971666
ScreenPorch,0.01718937605769666
Condition2,0.016478834707513768
Utilities,0.01613518572170647
LotConfig,0.011134433188013215
PoolArea,0.009508017001200741
KitchenAbvGr,0.00902971685322096
Heating,0.006702203739841872
RoofMatl,0.005399574892817061
RoofStyle,0.004685204004661658
LowQualFinSF,0.0020704060253906587
YrSold,0.0001810418632857136
Street,0.0
3SsnPorch,0.0
MoSold,0.0
MiscVal,0.0
LandSlope,0.0
PoolQC,0.0
Condition1,0.0
Id,0.0
