Neighborhood,count,median,mean,std
NridgHt,77,315000.0,316270.6233766234,96392.54495442318
NoRidge,41,301500.0,335295.31707317074,121412.65864036564
StoneBr,25,278000.0,310499.0,112969.67664045958
Timber,38,228475.0,242247.44736842104,64845.65154926355
Somerst,86,225500.0,225379.83720930232,56177.55588821204
Veenker,11,218000.0,238772.72727272726,72369.31795877437
Crawfor,51,200624.0,210624.72549019608,68866.39547212514
ClearCr,28,200250.0,212565.42857142858,50231.53899282105
CollgCr,150,197200.0,197965.77333333335,51403.66643820808
Blmngtn,17,191000.0,194870.88235294117,30393.22921902663
NWAmes,73,182900.0,189050.0684931507,37172.21810645119
Gilbert,79,181000.0,192854.50632911394,35986.77908510056
SawyerW,59,179900.0,186555.7966101695,55651.997819510005
Mitchel,49,153500.0,156270.1224489796,36486.62533360263
NPkVill,9,146000.0,142694.44444444444,9377.31452910575
NAmes,225,140000.0,145847.08,33075.345450263805
SWISU,25,139500.0,142591.36,32622.91767924302
Blueste,2,137500.0,137500.0,19091.883092036784
Sawyer,74,135000.0,136793.13513513515,22345.129156542916
BrkSide,58,124300.0,124834.05172413793,40348.689270401126
Edwards,100,121750.0,128219.7,43208.61645867324
OldTown,113,119000.0,128225.30088495575,52650.583184920484
BrDale,16,106000.0,104493.75,14330.176493446732
IDOTRR,37,103000.0,100123.78378378379,33376.71011693227
MeadowV,17,88000.0,98576.4705882353,23491.049609685513
