OverallQual,count,median,q1,q3,mean,std,IQR
1,2,50150.0,44725.0,55575.0,50150.0,15344.217151748082,10850.0
2,3,60000.0,47655.5,60000.0,51770.333333333336,14254.20079602267,12344.5
3,20,86250.0,75500.0,97500.0,87473.75,24688.567398643616,22000.0
4,116,108000.0,88000.0,125500.0,108420.6551724138,29022.00388553888,37500.0
5,397,133000.0,118000.0,147000.0,133523.34760705288,27107.3309273548,29000.0
6,374,160000.0,139125.0,181000.0,161603.0347593583,36090.18293267673,41875.0
7,319,200141.0,179470.0,230750.0,207716.42319749217,44466.25941417712,51280.0
8,168,269750.0,234557.5,306250.0,274735.53571428574,63898.9022529843,71692.5
9,43,345000.0,318980.5,389716.0,367513.0232558139,81278.17484929628,70735.5
10,18,432390.0,349375.0,472875.0,438588.3888888889,159785.49105786977,123500.0
