Neighborhood,count,mean_residual,mae
NoRidge,8,63258.76467738687,66533.07056184925
StoneBr,5,43288.771248640514,56724.13531492899
NridgHt,16,35065.76065708978,46984.44114517527
Crawfor,7,30060.58175615416,30060.58175615416
ClearCr,9,751.3633581419061,29710.95700799032
Mitchel,9,8218.331725120403,26926.454333479425
Timber,10,-13417.269983187365,25439.343680916725
IDOTRR,11,-5403.746047810672,24949.79380113113
SawyerW,15,-7781.277282259233,22416.63035097067
Gilbert,14,99.9938346872472,22185.39481182857
NAmes,44,3275.9223420074613,17889.941016412064
OldTown,22,-6048.718206981853,17767.895576590334
NWAmes,7,-9214.18498263054,17423.578999443427
Edwards,13,-165.2734652421294,16084.585068611805
Somerst,17,-7816.4313817550155,16036.496269025141
Blmngtn,2,-1811.3926469458966,15816.217489843606
BrkSide,13,7942.430245331712,15759.529232079709
Veenker,2,-12434.286531335558,14870.284180484014
CollgCr,35,-5764.738389385731,13792.4088450936
Sawyer,16,-2179.7574016561703,11918.105562202749
SWISU,4,-2914.1257889021945,10631.381634494144
MeadowV,7,2171.7559070003917,10316.946540205025
BrDale,3,3165.779639549243,10147.189237696817
Blueste,1,-7893.618426525616,7893.618426525616
NPkVill,2,1763.5578646708163,6118.238957643916
