Feature,SpearmanCorr
TotalSF,0.8196794426978453
OverallQual,0.8098285862017292
GrLivArea,0.7313095834659141
TotalBath,0.703731012809005
GarageCars,0.6907109670497434
YearBuilt,0.6526815462850586
GarageArea,0.6493785338868229
FullBath,0.6359570562496957
TotalBsmtSF,0.6027254448924096
1stFlrSF,0.5754078354212823
YearRemodAdd,0.5711589780582343
GarageYrBlt,0.5632564188677867
TotRmsAbvGrd,0.532585935116993
Fireplaces,0.5192474498367013
OpenPorchSF,0.47756066228252647
LotArea,0.4564605833912115
MasVnrArea,0.4159061267067718
LotFrontage,0.3755897922087816
WoodDeckSF,0.35380160795878884
HalfBath,0.34300754918568294
BsmtFinSF1,0.30187120358009534
2ndFlrSF,0.29359798822238187
BedroomAbvGr,0.23490671789027862
BsmtFullBath,0.22512486719612368
BsmtUnfSF,0.185196629420762
ScreenPorch,0.1000697202012266
MoSold,0.06943224370457042
3SsnPorch,0.06544021620062833
PoolArea,0.058452996689891755
MSSubClass,0.007192252911733476
BsmtHalfBath,-0.012188876310787316
Id,-0.01854562453597749
YrSold,-0.029899134912615286
BsmtFinSF2,-0.03880613204589418
MiscVal,-0.0627270024962966
LowQualFinSF,-0.06771915407896568
OverallCond,-0.12932494660061317
KitchenAbvGr,-0.1648257549850205
EnclosedPorch,-0.2183936205521982
RemodAge,-0.5765282833359638
HouseAge,-0.6501196678153067
