Actual,Predicted,Residual,AbsError
159500,250783.8061344704,-91283.80613447039,91283.80613447039
129000,218688.3462341154,-89688.3462341154,89688.3462341154
311500,234857.00591198483,76642.99408801517,76642.99408801517
403000,330581.0286498932,72418.97135010682,72418.97135010682
276000,346980.0542399601,-70980.0542399601,70980.0542399601
197000,264441.3054662029,-67441.3054662029,67441.3054662029
370878,309244.68369094015,61633.316309059854,61633.316309059854
280000,225806.6645927979,54193.3354072021,54193.3354072021
287000,341104.75661908946,-54104.75661908946,54104.75661908946
40000,93483.85008929593,-53483.85008929593,53483.85008929593
311872,259013.8652766496,52858.134723350406,52858.134723350406
335000,283196.4112688976,51803.58873110241,51803.58873110241
191000,241080.0859206255,-50080.08592062551,50080.08592062551
275000,227382.20774955212,47617.79225044788,47617.79225044788
241500,194631.59970168213,46868.400298317865,46868.400298317865
172500,219167.7359888026,-46667.7359888026,46667.7359888026
278000,324651.7969681775,-46651.796968177485,46651.796968177485
234000,189062.73265782322,44937.26734217678,44937.26734217678
293077,337389.9294812577,-44312.929481257685,44312.929481257685
64500,107675.32252920956,-43175.32252920956,43175.32252920956
446261,405958.38264969684,40302.61735030316,40302.61735030316
287090,247818.2406776315,39271.75932236851,39271.75932236851
110000,149165.66849285614,-39165.668492856144,39165.668492856144
89471,127388.91668327569,-37917.91668327569,37917.91668327569
246578,209166.11393498548,37411.88606501452,37411.88606501452
175900,213137.14679041572,-37237.14679041572,37237.14679041572
141000,104184.45477345139,36815.54522654861,36815.54522654861
260000,223375.05018701302,36624.949812986975,36624.949812986975
112000,76050.56175063088,35949.43824936912,35949.43824936912
180000,215885.0064874139,-35885.00648741389,35885.00648741389
205000,240618.873865112,-35618.87386511199,35618.87386511199
297000,332198.22697439673,-35198.22697439673,35198.22697439673
284000,318687.43338718155,-34687.43338718155,34687.43338718155
242000,276446.64725555124,-34446.647255551245,34446.647255551245
438780,404766.8370579185,34013.162942081515,34013.162942081515
369900,403284.3400256946,-33384.340025694575,33384.340025694575
240000,273127.2662689573,-33127.26626895729,33127.26626895729
79500,112007.9477725829,-32507.947772582906,32507.947772582906
200624,233042.2269368199,-32418.226936819905,32418.226936819905
179665,211919.39858554356,-32254.39858554356,32254.39858554356
264132,294707.73518858704,-30575.735188587045,30575.735188587045
275000,305195.12090856844,-30195.12090856844,30195.12090856844
239000,209596.04893594538,29403.95106405462,29403.95106405462
254000,225220.35210946036,28779.647890539636,28779.647890539636
237000,265647.18065452256,-28647.180654522555,28647.180654522555
301000,272738.7617017198,28261.238298280223,28261.238298280223
179900,208006.21973731808,-28106.219737318082,28106.219737318082
333168,360976.27967482357,-27808.27967482357,27808.27967482357
107000,134626.18221008792,-27626.18221008792,27626.18221008792
340000,312878.0322670518,27121.967732948193,27121.967732948193
217500,191806.03440001808,25693.965599981922,25693.965599981922
260000,234599.67738227666,25400.322617723345,25400.322617723345
35311,60492.687796592974,-25181.687796592974,25181.687796592974
377500,352518.0542204745,24981.9457795255,24981.9457795255
240000,215289.5148934342,24710.485106565786,24710.485106565786
226000,201336.0624374328,24663.93756256721,24663.93756256721
205000,180759.15960214427,24240.840397855733,24240.840397855733
177000,152883.6681126496,24116.33188735039,24116.33188735039
213490,190177.55272632508,23312.447273674916,23312.447273674916
260000,236701.31527596753,23298.68472403247,23298.68472403247
248900,271749.55236340425,-22849.552363404247,22849.552363404247
290000,312381.74855091237,-22381.748550912365,22381.748550912365
174000,196352.12154943103,-22352.12154943103,22352.12154943103
158000,135726.18859456512,22273.811405434884,22273.811405434884
171000,148753.48433625762,22246.51566374238,22246.51566374238
190000,211583.58060082272,-21583.580600822723,21583.580600822723
136500,158082.58396290182,-21582.583962901816,21582.583962901816
147000,125936.16754061289,21063.832459387108,21063.832459387108
244000,264717.9923940467,-20717.992394046683,20717.992394046683
197500,176866.22039439477,20633.779605605232,20633.779605605232
196000,175370.71036879328,20629.289631206717,20629.289631206717
135750,115169.00809567857,20580.991904321432,20580.991904321432
277000,256745.5977248934,20254.402275106608,20254.402275106608
136500,116349.18284575515,20150.817154244854,20150.817154244854
114500,134402.76586971778,-19902.765869717783,19902.765869717783
283463,263581.9728861526,19881.027113847376,19881.027113847376
169900,150075.81542358096,19824.184576419037,19824.184576419037
337000,317445.4262172382,19554.573782761814,19554.573782761814
255000,274207.45504523895,-19207.455045238952,19207.455045238952
120000,138701.9966677725,-18701.996667772502,18701.996667772502
175000,193586.15696820436,-18586.156968204363,18586.156968204363
165600,183897.29886353348,-18297.298863533477,18297.298863533477
93000,111117.91427339765,-18117.914273397648,18117.914273397648
157900,139827.72240978337,18072.277590216632,18072.277590216632
225000,243068.34254858596,-18068.342548585963,18068.342548585963
171750,189725.02657339,-17975.02657339,17975.02657339
316600,298674.42278614064,17925.57721385936,17925.57721385936
